date,app_type,classification,score_borda,relative_score
2017-01-16,Free,Unknown,81884,0.339485903814262
2017-01-16,Paid,Education Management,1075,0.0045290809125571405
2017-01-16,Paid,Entertainment,10258,0.04321796465210339
2017-01-16,Paid,Hobby,8597,0.03622000800488719
2017-01-16,Paid,Licensing Exams,20535,0.08651597817614964
2017-01-16,Paid,Parents,554,0.002334056581913168
2017-01-16,Paid,Preschool,14811,0.06240020222872912
2017-01-16,Paid,Professional,782,0.0032946430452276128
2017-01-16,Paid,Subject Learning,38849,0.16367466453203008
2017-01-16,Paid,Teaching and Learning,787,0.0033157085378441573
2017-01-16,Paid,Translating,722,0.003041857133829075
2017-01-16,Paid,Unknown,139882,0.589336647637505
2017-01-16,Paid,Well-being,503,0.002119188557224411
2017-01-17,Free,Cognitive Development,7889,0.032707296849087894
2017-01-17,Free,Education Management,3977,0.016488391376451077
2017-01-17,Free,Licensing Exam,10421,0.04320480928689884
2017-01-17,Free,Non-Education,37045,0.15358623548922057
2017-01-17,Free,Parents,3055,0.012665837479270315
2017-01-17,Free,Preschool,10434,0.04325870646766169
2017-01-17,Free,Professional & Career,1649,0.006836650082918739
2017-01-17,Free,Subject Learning,70078,0.2905389718076285
2017-01-17,Free,Teaching and Learning,14573,0.060418739635157544
2017-01-17,Free,Unknown,82079,0.3402943615257048
2017-01-17,Paid,Cognitive Development,11,4.6625579640728714e-05
2017-01-17,Paid,Education Management,1032,0.004374327108112003
2017-01-17,Paid,Entertainment,10481,0.04442570001949797
2017-01-17,Paid,Hobby,8310,0.03522350607404142
2017-01-17,Paid,Licensing Exams,19039,0.0807004009799849
2017-01-17,Paid,Parents,472,0.0020006612354930868
2017-01-17,Paid,Preschool,13674,0.057959834182484044
2017-01-17,Paid,Professional,868,0.0036791821025593204
2017-01-17,Paid,Subject Learning,40154,0.1702003204448928
2017-01-17,Paid,Teaching and Learning,724,0.003068810878171599
2017-01-17,Paid,Translating,1141,0.0048363442154610425
2017-01-17,Paid,Unknown,139333,0.5905892625528777
2017-01-17,Paid,Well-being,683,0.0028950246267834285
2017-01-18,Free,Cognitive Development,7750,0.03213101160862355
2017-01-18,Free,Education Management,4008,0.016616915422885573
2017-01-18,Free,Licensing Exam,10433,0.043254560530679935
2017-01-18,Free,Non-Education,36707,0.1521849087893864
2017-01-18,Free,Parents,2964,0.012288557213930348
2017-01-18,Free,Preschool,10124,0.04197346600331675
2017-01-18,Free,Professional & Career,1498,0.0062106135986733
2017-01-18,Free,Subject Learning,71286,0.29554726368159207
2017-01-18,Free,Teaching and Learning,14209,0.05890961857379768
2017-01-18,Free,Unknown,82221,0.3408830845771144
2017-01-18,Paid,Cognitive Development,31,0.00013699235494277255
2017-01-18,Paid,Education Management,1203,0.005316187193424367
2017-01-18,Paid,Entertainment,9905,0.04377126695832781
2017-01-18,Paid,Hobby,7466,0.032993062000088384
2017-01-18,Paid,Licensing Exams,19323,0.0853904282115869
2017-01-18,Paid,Parents,327,0.0014450483892350524
2017-01-18,Paid,Preschool,12782,0.056485041318661895
2017-01-18,Paid,Professional,999,0.004414689115736444
2017-01-18,Paid,Subject Learning,39771,0.17575235317512927
2017-01-18,Paid,Teaching and Learning,453,0.0020018560254540635
2017-01-18,Paid,Translating,1436,0.006345839409607141
2017-01-18,Paid,Unknown,132037,0.58348579256706
2017-01-18,Paid,Well-being,557,0.0024614432807459454
2017-01-19,Free,Cognitive Development,7523,0.03118988391376451
2017-01-19,Free,Education Management,4943,0.020493366500829186
2017-01-19,Free,Licensing Exam,10538,0.043689883913764514
2017-01-19,Free,Non-Education,34802,0.14428689883913765
2017-01-19,Free,Parents,3114,0.01291044776119403
2017-01-19,Free,Preschool,9149,0.03793117744610282
2017-01-19,Free,Professional & Career,1695,0.007027363184079602
2017-01-19,Free,Subject Learning,73312,0.3039469320066335
2017-01-19,Free,Teaching and Learning,14574,0.060422885572139304
2017-01-19,Free,Unknown,81550,0.33810116086235487
2017-01-19,Paid,Education Management,1260,0.005298369700053404
2017-01-19,Paid,Entertainment,10566,0.044430614484733545
2017-01-19,Paid,Hobby,8079,0.03397264191010433
2017-01-19,Paid,Licensing Exams,22409,0.09423108460991804
2017-01-19,Paid,Parents,517,0.002174013599148897
2017-01-19,Paid,Preschool,13658,0.0574326455264519
2017-01-19,Paid,Professional,740,0.0031117409349519995
2017-01-19,Paid,Subject Learning,38385,0.16141104836234121
2017-01-19,Paid,Teaching and Learning,634,0.002666005071296713
2017-01-19,Paid,Translating,1482,0.006231891980539004
2017-01-19,Paid,Unknown,139592,0.5869920818808372
2017-01-19,Paid,Well-being,487,0.0020478619396238156
2017-01-20,Free,Cognitive Development,3059,0.030437810945273633
2017-01-20,Free,Education Management,2457,0.02444776119402985
2017-01-20,Free,Licensing Exam,5790,0.05761194029850746
2017-01-20,Free,Non-Education,12729,0.12665671641791046
2017-01-20,Free,Parents,684,0.0068059701492537315
2017-01-20,Free,Preschool,3168,0.03152238805970149
2017-01-20,Free,Professional & Career,680,0.006766169154228856
2017-01-20,Free,Subject Learning,31219,0.310636815920398
2017-01-20,Free,Teaching and Learning,6950,0.0691542288557214
2017-01-20,Free,Unknown,33764,0.33596019900497515
2017-01-20,Paid,Education Management,237,0.0023582089552238806
2017-01-20,Paid,Entertainment,4789,0.04765174129353234
2017-01-20,Paid,Hobby,3583,0.03565174129353234
2017-01-20,Paid,Licensing Exams,7514,0.07476616915422886
2017-01-20,Paid,Parents,492,0.004895522388059702
2017-01-20,Paid,Preschool,8111,0.08070646766169154
2017-01-20,Paid,Professional,382,0.0038009950248756217
2017-01-20,Paid,Subject Learning,15248,0.15172139303482587
2017-01-20,Paid,Teaching and Learning,218,0.0021691542288557212
2017-01-20,Paid,Translating,316,0.0031442786069651742
2017-01-20,Paid,Unknown,59312,0.5901691542288557
2017-01-20,Paid,Well-being,298,0.002965174129353234
2017-01-21,Free,Cognitive Development,7871,0.032632669983416254
2017-01-21,Free,Education Management,5047,0.020924543946932005
2017-01-21,Free,Licensing Exam,11358,0.04708955223880597
2017-01-21,Free,Non-Education,34585,0.1433872305140962
2017-01-21,Free,Parents,3204,0.01328358208955224
2017-01-21,Free,Preschool,8372,0.03470978441127695
2017-01-21,Free,Professional & Career,1613,0.006687396351575456
2017-01-21,Free,Subject Learning,71881,0.298014096185738
2017-01-21,Free,Teaching and Learning,15679,0.06500414593698176
2017-01-21,Free,Unknown,81590,0.3382669983416252
