year,country,rank_bin,app_type,unknown_ratio
2017,pl,"[130, 140)",Paid,66.53295128939828
2017,pl,"[140, 150)",Free,38.12154696132597
2017,pl,"[140, 150)",Paid,66.59025787965615
2017,pl,"[150, 160)",Free,36.82320441988951
2017,pl,"[150, 160)",Paid,65.50143266475644
2017,pl,"[160, 170)",Free,38.28729281767956
2017,pl,"[160, 170)",Paid,67.84178847807395
2017,pl,"[170, 180)",Free,36.71270718232044
2017,pl,"[170, 180)",Paid,65.21739130434783
2017,pl,"[180, 190)",Free,38.48066298342541
2017,pl,"[180, 190)",Paid,66.10584276537168
2017,pl,"[190, 200)",Free,38.34254143646409
2017,pl,"[190, 200)",Paid,65.97643698679043
2017,us,"[0, 10)",Free,2.295684113865932
2017,us,"[0, 10)",Paid,81.84879093970004
2017,us,"[10, 20)",Free,10.165289256198347
2017,us,"[10, 20)",Paid,66.72176308539945
2017,us,"[20, 30)",Free,26.033057851239672
2017,us,"[20, 30)",Paid,49.03581267217631
2017,us,"[30, 40)",Free,30.02754820936639
2017,us,"[30, 40)",Paid,49.09090909090909
2017,us,"[40, 50)",Free,33.80165289256198
2017,us,"[40, 50)",Paid,46.41873278236915
2017,us,"[50, 60)",Free,35.48209366391185
2017,us,"[50, 60)",Paid,47.768595041322314
2017,us,"[60, 70)",Free,35.37190082644628
2017,us,"[60, 70)",Paid,45.92286501377411
2017,us,"[70, 80)",Free,37.768595041322314
2017,us,"[70, 80)",Paid,46.52892561983471
2017,us,"[80, 90)",Free,41.59779614325069
2017,us,"[80, 90)",Paid,45.068870523415974
2017,us,"[90, 100)",Free,41.680440771349865
2017,us,"[90, 100)",Paid,46.99724517906336
2017,us,"[100, 110)",Free,38.41243408270885
2017,us,"[100, 110)",Paid,47.98778795448237
2017,us,"[110, 120)",Free,36.11111111111111
2017,us,"[110, 120)",Paid,50.80555555555556
2017,us,"[120, 130)",Free,36.19444444444444
2017,us,"[120, 130)",Paid,50.66666666666667
2017,us,"[130, 140)",Free,38.416666666666664
2017,us,"[130, 140)",Paid,52.22222222222223
2017,us,"[140, 150)",Free,38.55555555555556
2017,us,"[140, 150)",Paid,51.416666666666664
2017,us,"[150, 160)",Free,38.94444444444444
2017,us,"[150, 160)",Paid,54.50000000000001
2017,us,"[160, 170)",Free,39.08333333333333
2017,us,"[160, 170)",Paid,53.361111111111114
2017,us,"[170, 180)",Free,40.0
2017,us,"[170, 180)",Paid,55.361111111111114
2017,us,"[180, 190)",Free,39.47222222222222
2017,us,"[180, 190)",Paid,54.166666666666664
2017,us,"[190, 200)",Free,39.80555555555556
2017,us,"[190, 200)",Paid,56.13888888888889
2018,be,"[0, 10)",Free,6.397306397306397
2018,be,"[0, 10)",Paid,57.33088460361188
2018,be,"[10, 20)",Free,9.917355371900827
2018,be,"[10, 20)",Paid,72.36914600550965
2018,be,"[20, 30)",Free,18.484848484848484
2018,be,"[20, 30)",Paid,56.03305785123966
2018,be,"[30, 40)",Free,25.537190082644628
2018,be,"[30, 40)",Paid,47.41046831955923
2018,be,"[40, 50)",Free,26.887052341597794
2018,be,"[40, 50)",Paid,45.97796143250689
2018,be,"[50, 60)",Free,27.658402203856745
2018,be,"[50, 60)",Paid,46.666666666666664
2018,be,"[60, 70)",Free,27.38292011019284
2018,be,"[60, 70)",Paid,47.43801652892562
2018,be,"[70, 80)",Free,24.931129476584022
2018,be,"[70, 80)",Paid,47.93388429752066
2018,be,"[80, 90)",Free,27.327823691460058
2018,be,"[80, 90)",Paid,49.421487603305785
2018,be,"[90, 100)",Free,29.83471074380165
2018,be,"[90, 100)",Paid,48.264462809917354
